"https://vcloud.hudl.com/file/broadcast/3501843.m3u8?hfr=1 - Montpelier at Paulding | 2025-26 Boys Basketball | MySports.Live - Jan 24, 2026",
        "https://vcloud.hudl.com/file/broadcast/1897606.m3u8?hfr=1 - Paulding at Wayne Trace | 2024-25 Girls Basketball | MySports.Live - Jan 02, 2025",

        "https://vcloud.hudl.com/file/broadcast/1893595.m3u8?hfr=1 - Miller City at Paulding | 2024-25 Boys Basketball | MySports.Live - Dec 28, 2024",

        "https://vcloud.hudl.com/file/broadcast/1849295.m3u8?hfr=1 - Bluffton at Paulding | 2024-25 Boys Basketball | MySports.Live - Dec 17, 2024",

        "https://vcloud.hudl.com/file/broadcast/1706842.m3u8?hfr=1 - Pettisville at Paulding | 2024-25 Boys Basketball | MySports.Live - Dec 07, 2024",

        "https://vcloud.hudl.com/file/broadcast/1706841.m3u8?hfr=1 - Tinora at Paulding | 2024-25 Girls Basketball | MySports.Live - Dec 07, 2024",

        "https://vcloud.hudl.com/file/broadcast/1706838.m3u8?hfr=1 - Defiance at Paulding | 2024-25 Boys Basketball | MySports.Live - Dec 06, 2024",

        "https://vcloud.hudl.com/file/broadcast/1706833.m3u8?hfr=1 - Bryan at Paulding | 2024-25 Girls Basketball | MySports.Live - Dec 05, 2024",

        "https://vcloud.hudl.com/file/broadcast/1706831.m3u8?hfr=1 - Lincolnview at Paulding | 2024-25 Girls Basketball | MySports.Live - Dec 03, 2024",

        "https://vcloud.hudl.com/file/broadcast/1383346.m3u8?hfr=1 - Paulding at Antwerp | 2024 Football | MySports.Live - Oct 25, 2024",

        "https://vcloud.hudl.com/file/broadcast/1383338.m3u8?hfr=1 - Tinora at Paulding | 2024 Football | MySports.Live - Oct 18, 2024",

        "https://vcloud.hudl.com/file/broadcast/1383318.m3u8?hfr=1 - Antwerp at Paulding | 2024 Volleyball | MySports.Live - Oct 10, 2024",

        "https://vcloud.hudl.com/file/broadcast/1347884.m3u8?hfr=1 - Edgerton at Paulding | 2024 Football | MySports.Live - Oct 04, 2024",

        "https://vcloud.hudl.com/file/broadcast/1347879.m3u8?hfr=1 - Wauseon at Paulding | 2024 Volleyball | MySports.Live - Sep 30, 2024",

        "https://vcloud.hudl.com/file/broadcast/1307993.m3u8?hfr=1 - Swanton at Paulding | 2024 Volleyball | MySports.Live - Sep 19, 2024",

        "https://vcloud.hudl.com/file/broadcast/1286410.m3u8?hfr=1 - Wayne Trace at Paulding | 2024 Football | MySports.Live - Sep 13, 2024",

        "https://vcloud.hudl.com/file/broadcast/1286402.m3u8?hfr=1 - Ayersville at Paulding | 2024 Volleyball | MySports.Live - Sep 10, 2024",

        "https://vcloud.hudl.com/file/broadcast/1282712.m3u8?hfr=1 - Delphos Jefferson vs Paulding | 2024 Football | MySports.Live - Sep 06, 2024",

        "https://vcloud.hudl.com/file/broadcast/1237946.m3u8?hfr=1 - Paulding at Wayne Trace | 2024 Volleyball | MySports.Live - Sep 03, 2024",

        "https://vcloud.hudl.com/file/broadcast/1243434.m3u8?hfr=1 - North Central at Paulding | 2024 Football | MySports.Live - Aug 30, 2024",

        "https://vcloud.hudl.com/file/broadcast/1173973.m3u8?hfr=1 - North Central at Paulding | 2024 Football | MySports.Live - Aug 30, 2024",

        "https://vcloud.hudl.com/file/broadcast/1173964.m3u8?hfr=1 - Delphos Jefferson at Paulding | 2024 Volleyball | MySports.Live - Aug 29, 2024",

        "https://vcloud.hudl.com/file/broadcast/1084396.m3u8?hfr=1 - Antwerp at Paulding | 2024 Softball | MySports.Live - May 13, 2024",

        "https://vcloud.hudl.com/file/broadcast/1068681.m3u8?hfr=1 - Antwerp at Paulding | 2024 Baseball | MySports.Live - Apr 27, 2024",

        "https://vcloud.hudl.com/file/broadcast/1039428.m3u8?hfr=1 - Wayne Trace at Paulding | 2024 Baseball | MySports.Live - Apr 25, 2024",

        "https://vcloud.hudl.com/file/broadcast/1039431.m3u8?hfr=1 - Wayne Trace at Paulding | 2024 Softball | MySports.Live - Apr 25, 2024",

        "https://vcloud.hudl.com/file/broadcast/978030.m3u8?hfr=1 - Bluffton at Paulding | 2023-24 Girls Basketball | MySports.Live - Feb 22, 2024",

        "https://vcloud.hudl.com/file/broadcast/938970.m3u8?hfr=1 - Bryan at Paulding | 2023-24 Boys Basketball | MySports.Live - Feb 17, 2024",

        "https://vcloud.hudl.com/file/broadcast/938963.m3u8?hfr=1 - Paulding at Wayne Trace | 2023-24 Boys Basketball | MySports.Live - Feb 16, 2024",

        "https://vcloud.hudl.com/file/broadcast/938946.m3u8?hfr=1 - Wayne Trace at Paulding | 2023-24 Girls Basketball | MySports.Live - Feb 15, 2024",

        "https://vcloud.hudl.com/file/broadcast/938929.m3u8?hfr=1 - Liberty Center at Paulding | 2023-24 Girls Basketball | MySports.Live - Feb 10, 2024",

        "https://vcloud.hudl.com/file/broadcast/938919.m3u8?hfr=1 - Tinora at Paulding | 2023-24 Boys Basketball | MySports.Live - Feb 09, 2024",

        "https://vcloud.hudl.com/file/broadcast/953282.m3u8?hfr=1 - Hicksville and Fairview at Paulding | 2023-24 Wrestling | MySports.Live - Feb 08, 2024",

        "https://vcloud.hudl.com/file/broadcast/929982.m3u8?hfr=1 - Ottoville at Paulding | 2023-24 Boys Basketball | MySports.Live - Feb 03, 2024",

        "https://vcloud.hudl.com/file/broadcast/929959.m3u8?hfr=1 - Fairview at Paulding | 2023-24 Girls Basketball | MySports.Live - Feb 01, 2024",

        "https://vcloud.hudl.com/file/broadcast/929946.m3u8?hfr=1 - Parkway at Paulding | 2023-24 Girls Basketball | MySports.Live - Jan 30, 2024",

        "https://vcloud.hudl.com/file/broadcast/906218.m3u8?hfr=1 - Montpelier at Paulding | 2023-24 Boys Basketball | MySports.Live - Jan 27, 2024",

        "https://vcloud.hudl.com/file/broadcast/906013.m3u8?hfr=1 - Hicksville at Paulding | 2023-24 Girls Basketball | MySports.Live - Jan 25, 2024",

        "https://vcloud.hudl.com/file/broadcast/890143.m3u8?hfr=1 - Edgerton at Paulding | 2023-24 Boys Basketball | MySports.Live - Jan 19, 2024",

        "https://vcloud.hudl.com/file/broadcast/879774.m3u8?hfr=1 - Bluffton at Paulding | 2023-24 Girls Basketball | MySports.Live - Jan 13, 2024",

        "https://vcloud.hudl.com/file/broadcast/879766.m3u8?hfr=1 - Ayersville at Paulding | 2023-24 Girls Basketball | MySports.Live - Jan 11, 2024",

